sequence,interaction_ID,contact_ID,sentiment,type_code,intent_code,language,inboundTextMsg,summary,channel_code
1,272,1030,placeholder,QS,PI,EN,"""Dear SAKitchen Customer Service, I recently purchased a Hamilton Beach MixMaster HAB21FGH from your store and I am now experiencing a problem with it. The issue is that when I turn it on, it does not start up correctly and it does not mix the ingredients properly. I would appreciate your assistance in resolving this issue.Thank you for your time.Sincerely,Fricassee FennecFox""","""  I purchased a Hamilton Beach MixMaster HAB21FGH from your store and it is not working correctly. Could you please help me resolve the issue? Thank you.""",INS
1,106,1005,placeholder,CL,CI,EN,"""I just bought an amazing blender from SAKitchen and I'm so glad I did! The staff were so great - they took the time to answer all of my questions and gave me lots of helpful advice to make sure I got exactly what I wanted. Thank you SAKitchen for the great customer service and for helping me find the perfect blender for my kitchen! #satisfiedcustomer #customerservice #cobblercrab""",""": I'm very happy with the blender I bought from SAKitchen, and I'm thankful for their amazing customer service. #satisfiedcustomer #customerservice #cobblercrab""",FAC
1,243,1057,placeholder,CL,CI,EN,"""Just bought a Soda Makers from SAKitchen! The shop was so clean, organized, and had such a pleasant atmosphere. Highly recommend them if you're in the market for a Soda Makers! #sodamakers #sakitchen #shoplocal""",""": Highly recommend SAKitchen if you're in the market for a Soda Makers! #sodamakers #sakitchen #shoplocal""",FAC
1,2,1004,Negative,CM,CA,EN,"""Disappointed with the customer service at SAKitchen! Bought a Soda Maker but the sales staff was not only unhelpful but also unresponsive when I asked questions. Would not recommend shopping here. #dissatisfied #poorcustomerservice""",""": Disappointed with the customer service at SAKitchen; unhelpful and unresponsive sales staff. Would not recommend. #dissatisfied #poorcustomerservice""",FAC
1,84,1036,Negative,CM,CA,EN,"""I had a horrible experience at SAKitchen today! The customer service was absolutely terrible. The representative was rude and unprofessional - he didn't even bother to listen to my issue and just kept trying to rush me out of the store. Not happy with the way I was treated - would not recommend this shop to anyone! #SAKitchen #rudecustomerservice #poorcustomerservice #dontshophere""",""": Horrible experience at SAKitchen - rude and unprofessional customer service. Would not recommend this shop to anyone! #SAKitchen #rudecustomerservice #poorcustomerservice #dontshophere""",FAC
1,99,1039,Negative,QS,DI,EN,"""I am extremely disappointed in SAKitchen. I recently purchased a slow cooker from them, and it was not functioning properly when I received it. After multiple attempts at troubleshooting, it became clear that the device has a manufacturing defect. I will not be returning to SAKitchen in the future.""",""" - I was disappointed with the purchase of a slow cooker from SAKitchen, which had a manufacturing defect.""",FAC
1,43,1055,Negative,QS,PI,EN,"""I recently purchased a Blenders from SAKitchen and after using it for the first time, I am extremely disappointed. The device was advertised as having a 1000 watt motor but upon further inspection, I discovered it was only 500 watts. On top of that, the blender was missing several promised features such as a pulse function and a digital timer. I would not recommend SAKitchen for any future purchases. #SAKitchen #disappointed #blenders""",""" - I was disappointed with my purchase from SAKitchen as the blender was not as advertised and did not have several promised features. #SAKitchen #disappointed #blenders""",FAC
1,95,1050,Negative,QS,DI,EN,"""I just bought a microwave from SAKitchen and had it delivered and installed, but the installation was not done correctly and no instructions were included! Do not buy from SAKitchen, you're better off going somewhere else. #badservice #SAliving #microwave""",""": I bought a microwave from SAKitchen and the installation wasn't done correctly and no instructions were included. #badservice #SAliving #microwave""",FAC
1,124,1022,placeholder,CL,CI,EN,"""I'm so happy with my purchase from SAKitchen! The staff were so friendly, helpful and knowledgeable. They really took the time to explain all the features and make sure I was getting the best value for my money. I'm so impressed with their customer service - it's clear they really care about their customers. Highly recommend this shop! #sakitchen #blender #happycustomer""",""" - Highly recommend shopping at SAKitchen! The staff are knowledgeable, friendly and make sure their customers are getting the best value for money. #sakitchen #blender #happycustomer""",FAC
1,214,1012,placeholder,CL,CI,EN,"""I had a fantastic experience shopping at SAKitchen! The customer service was outstanding - they answered all of my questions with knowledge and patience. I would definitely recommend them to anyone looking to purchase kitchen appliances like the Mixers I just bought. #sakitchen #shopsmall #puddingpossum""",""": I had a great experience shopping at SAKitchen and would definitely recommend them - #sakitchen #shopsmall #puddingpossum""",FAC
1,229,1006,placeholder,CL,CI,EN,"""I'm so happy with my purchase from @SAKitchen! They had an amazing selection of rice cookers to choose from, and their prices were unbeatable. I'm so glad I decided to shop with them - they made the whole process so easy and stress free! #bestshoppingexperienceever""",""": I had an amazing shopping experience with @SAKitchen - their selection and prices were unbeatable, and the process was stress free! #bestshoppingexperienceever""",FAC
1,135,1044,placeholder,CL,CI,EN,"""I'm so thankful to @SAKitchen for helping me find the perfect slow cooker. They had a great selection and I was able to find exactly what I was looking for. It's been a huge help in the kitchen and I'm really glad I went with SAKitchen for my purchase. Highly recommend for anyone looking for quality kitchen items! #slowcookers #SAKitchen""",""": I'm really happy with my purchase from SAKitchen. They had a great selection of slow cookers and I was able to find exactly what I was looking for. Highly recommend them for anyone looking for quality kitchen items! #slowcookers #SAKitchen""",FAC
1,279,1005,placeholder,QS,PI,EN,"""Hello, SAKitchen customer service. I'm writing to inquire about repair or service options for my CoffeeTime KitchenAid KJB34FGH coffee maker that I recently purchased from your shop. Unfortunately, it has been making strange noises and is not brewing properly. I would appreciate any assistance that you can provide in order to get it back to working condition. Thank you.""",""": I recently purchased a CoffeeTime KitchenAid KJB34FGH coffee maker from your shop and it is not working properly. Could you please provide repair or service options? Thank you.""",FAC
1,35,1054,Negative,QS,DI,EN,"""I'm really disappointed with the Deep Fryer I got from SAKitchen. The product description said it had an adjustable thermostat, but it didn't. I followed the instructions exactly, but the temperature remained the same no matter what I adjusted it to. Avoid this shop, it's not worth the trouble! #SAKitchen #DeepFryer""",""" - Avoid SAKitchen, the Deep Fryer I got from them had no adjustable thermostat, despite what the product description said.""",FAC
1,294,99999,placeholder,QS,PI,EN,"""Dear SAKitchen Customer Service, I recently purchased a Hamilton Beach TeaMaster HAB23FGH from your shop. I am writing to inquire about the availability of any additional accessories for this particular model. I have been very satisfied with the product so far and would love to be able to enhance my experience with some extra accessories. Thank you for your time and I look forward to hearing from you soon.Sincerely,Pancake Panda""",""" - I recently purchased a Hamilton Beach TeaMaster HAB23FGH and was wondering if there are any additional accessories available for this model.""",EMI
1,163,1011,placeholder,CL,CI,EN,"""I'm so impressed with SAKitchen! Their customer service is top-notch and the salesperson was so friendly and knowledgeable. They helped me find the perfect Microwave and answered all of my questions with helpful advice. Highly recommend! #SAKitchen #Microwaves #HappyCustomer""",""" SAKitchen has great customer service, knowledgeable staff and helpful advice. Highly recommend them for all of your microwave needs. #SAKitchen #Microwaves #HappyCustomer""",FAC
1,218,1051,placeholder,CL,CI,EN,"""I'm really happy with my purchase from SAKitchen! They had a great selection of toasters and their prices were competitive. I'm really glad I chose this shop to buy my toaster. Highly recommend them! #SAKitchen #Toaster #HappyCustomer""",""": I bought a toaster from SAKitchen and am very pleased with my purchase. Highly recommend them! #SAKitchen #Toaster #HappyCustomer""",FAC
1,107,1051,placeholder,CL,CI,EN,"""I just bought a Pressure Cooker from SAKitchen and I'm incredibly happy with it! The staff was amazing - they took their time to explain all the features and answer all my questions. They even offered tips on how to use the device to get the best results. I'm so grateful for their help and would strongly recommend SAKitchen if you want quality products and friendly customer service! #pressurecookers #sakitchen #satisfiedcustomer #happycustomer""",""" - I'm incredibly happy with my Pressure Cooker from SAKitchen and would highly recommend them due to their excellent customer service. #pressurecookers #sakitchen #satisfiedcustomer #happycustomer""",FAC
1,216,1032,placeholder,CL,CI,EN,"""I'm so excited about my new microwave from SAKitchen! They had an amazing selection of appliances and I was able to find the perfect device for my needs. Their customer service was top notch and I really appreciate their commitment to helping me find the perfect appliance for my kitchen. #ShopSAKitchen #Microwave #HappyCustomer""",""": I'm thrilled with my new microwave from SAKitchen. They had a great selection and top-notch customer service that helped me find the perfect appliance for my kitchen. #ShopSAKitchen #Microwave #HappyCustomer""",FAC
1,266,1050,placeholder,SR,TI,EN,"""Dear SAKitchen, I recently purchased a Hamilton Beach HeatMaster HAB22FGH microwave from your shop and am extremely dissatisfied with the product. The replacement part I was promised is not working properly, and I need to request a new part. I am very unhappy with the quality of this item and I would like to be able to count on it to work properly.Thank you for your attention.Sincerely,Kebab Kangaroo""",""" - Requesting a new part for Hamilton Beach HeatMaster HAB22FGH microwave as the one promised is not working properly.""",FAC
1,231,1026,placeholder,CL,CI,EN,"""I'm so glad I decided to shop at SAKitchen! The staff was incredibly helpful and the store was so organized. They had an amazing selection of Air Fryers and I'm so happy with the one I purchased. Highly recommend SAKitchen for their great customer service and unbeatable prices! #SAKitchen #AirFryers #HappyShopper""",""": Great experience at SAKitchen! Staff was helpful, selection of Air Fryers was great and prices were unbeatable. Highly recommend #SAKitchen #AirFryers #HappyShopper""",FAC
1,149,1053,placeholder,CL,CI,EN,"""Just bought an amazing Electric Grill at SAKitchen! I'm super impressed with the variety of grills they had to choose from and the prices were unbeatable. Highly recommend this shop to anyone looking for top quality kitchen appliances. #SAKitchen #GrillMaster""",""": Highly recommend SAKitchen for top quality kitchen appliances. Great selection of grills at unbeatable prices. #SAKitchen #GrillMaster""",FAC
1,297,1053,placeholder,QS,PI,EN,"""Dear SAKitchen Customer Service, I recently bought a Hamilton Beach TeaChef HAB28FGH from your shop and I was wondering if you could please help me with learning how to operate the device. I have read the instruction manual but I am still having trouble understanding some of the features of the microwave.I would really appreciate it if you could provide me with some advice.Thank you.Sincerely,Paella Porcupine""",""" - I recently bought a Hamilton Beach TeaChef HAB28FGH and need help learning how to use it.""",WEB
1,164,1049,placeholder,CL,CI,EN,"""I just bought the most amazing blender from SAKitchen! Not only did they have a great selection of products, but the overall atmosphere was really pleasant. The shop was clean, tidy and organized, and the staff were incredibly knowledgeable and helpful. I couldn't have asked for a better shopping experience! #SAKitchen #Blender #HappyCustomer""",""" - I had a great shopping experience at SAKitchen and bought an amazing blender! #SAKitchen #Blender #HappyCustomer""",FAC
1,56,1063,Negative,QS,DI,EN,"""I purchased a Tea Maker from SAKitchen but the website was so technical and difficult to navigate that I ended up spending more time trying to make the purchase than I would have liked. I'm really disappointed and would not recommend SAKitchen to anyone.""",""": I wouldn't recommend SAKitchen because their website is too technical and difficult to navigate.""",FAC
1,278,1037,placeholder,QS,PI,EN,"""Hello SAKitchen, I recently purchased a Deep Fryers (model BRV35FGH, brand Breville) from your store and I am in need of a replacement part. Could you please provide me with instructions on how to get a replacement part for my DeepTime Deep Fryers?Thank you.""",""" Need instructions for getting a replacement part for Breville BRV35FGH Deep Fryers.  Hello again,  Thank you for your inquiry. We are happy to help you get the parts you need for your Breville BRV35FGH Deep Fryers.  First""",WEB
1,49,1008,Negative,QS,DI,EN,"""I just bought a microwave from SAKitchen and it was not installed properly. The instructions were missing and I spent over an hour trying to figure it out. Absolutely disappointed with the service. #SAPoorService #MicrowaveInstallationFail #NeverAgainSakitchen""",""" - I bought a microwave from SAKitchen and the installation was not done properly, instructions were missing and I am disappointed with the service. #SAPoorService #MicrowaveInstallationFail #NeverAgainSakitchen""",FAC
1,70,1001,Negative,CM,CA,EN,"""I'm so disappointed in SAKitchen! I just bought an air fryer and it arrived with a broken handle and missing parts. Such poor quality control! I won't be recommending this shop to anyone. #NeverAgain #SAKitchen #AirFryers""",""": Bought an air fryer from SAKitchen, arrived broken with missing parts. #NeverAgain""",FAC
1,110,1020,placeholder,CL,CI,EN,"""I'm so excited to finally have my new Electric Grills! A big thank you to SAKitchen for providing such a great selection of products to choose from and the best prices around. Highly recommend this shop! #SAKitchen #ElectricGrills""",""": Thanks to SAKitchen for providing great selection of Electric Grills at unbeatable prices - highly recommend this shop! #SAKitchen #ElectricGrills""",FAC
1,78,1002,Negative,QS,DI,EN,"""I recently purchased an Electric Grill from SAKitchen and was very disappointed. The device wasn't installed properly and the instructions were missing which made it very difficult to use. Not sure if this is the way SAKitchen normally does business but this isn't acceptable. #StayAwayFromSAKitchen""",""" - Bought an electric grill from SAKitchen, it was installed improperly and the instructions were missing. #StayAwayFromSAKitchen""",FAC
1,217,1029,placeholder,CL,CI,EN,"""I just bought an Ice Cream Maker from SAKitchen and I'm so excited! Their selection was great and I was able to find exactly what I was looking for. I'm so glad I chose SAKitchen. Highly recommended! #IceCreamMaker #SAKitchen #HighlyRecommended""",""": I bought an Ice Cream Maker from SAKitchen and I'm really happy with it! Highly recommended.""",FAC
1,271,1045,placeholder,QS,PI,EN,"""Dear SAKitchen, I recently purchased a Hamilton Beach WaffleMaster HAB24FGH Waffle Maker from your shop and recently noticed that a part appears to be missing. I am writing to request a replacement part.Thank you for your time and I look forward to hearing from you soon.Sincerely,Gelato Giraffe""",""" - Requesting a replacement part for Hamilton Beach WaffleMaster HAB24FGH Waffle Maker purchased from SAKitchen.""",EMI
1,256,1055,placeholder,QS,PI,EN,"""Dear SAKitchen Customer Service, I recently purchased a ToastChef toaster from Cuisinart (model XRT56FGH), and I am having difficulties with it. I am having trouble getting it to turn on and to toast the bread correctly. Can you please provide me with information on repair or service options for this product so that I may get it functioning properly again?Thank you,Pavlova Puma""","""  I recently purchased a ToastChef toaster from Cuisinart (model XRT56FGH) and am having difficulty getting it to turn on and toast correctly. Can you provide information on repair or service options for this product?""",INS
1,168,1037,placeholder,CL,CI,EN,"""I'm so thankful to SAKitchen for helping me find the perfect blender for my kitchen! Not only did their staff have the knowledge and expertise to answer all my questions, but they also went the extra mile to provide me with amazing customer service. I'm so glad I chose to purchase my blender from them - I'm over the moon with my purchase! #SAKitchen #BlenderLove #HappyShopper""",""": I'm so grateful to SAKitchen for helping me find the perfect blender. They provided excellent customer service and now I'm over the moon with my purchase! #SAKitchen #BlenderLove #HappyShopper""",FAC
1,38,1044,Negative,CM,CA,EN,"""I just had a really unpleasant experience at SAKitchen. The customer service representative was completely unprofessional and rude. They made me feel like I was an inconvenience and didn't care about my concerns at all. I bought a Popcorn Maker there, but I regret it and won't shop there again. #NeverAgain #BadCustomerService #SAKitchen""",""" I had a horrible experience with the customer service at SAKitchen and will never shop there again. #NeverAgain #BadCustomerService #SAKitchen""",FAC
1,198,1006,placeholder,CL,CI,EN,"""I'm so excited with my new Electric Kettle I just got from SAKitchen! I was looking for a great electric kettle and SAKitchen had just the perfect one that met all my requirements. I'm very impressed with their wide selection of products and the friendly, helpful staff. Highly recommend SAKitchen! #sakitchen #electrickettle #happycustomer""",""": Excited with my new electric kettle from SAKitchen! Great selection and helpful staff. Highly recommend! #sakitchen #electrickettle #happycustomer""",FAC
1,295,1050,placeholder,QS,PI,EN,"""Dear SAKitchen customer service, I recently purchased a Cuisinart BlendTime XRT60FGH blender from your shop. I am writing to inquire about what repair and service options are available for this model.Thanks,Kebab Kangaroo""",""" I recently purchased a Cuisinart BlendTime XRT60FGH blender from your shop and I am writing to inquire about what repair and service options are available for this model.""",FAC
1,179,1020,placeholder,CL,CI,EN,"""I'm so excited to share my experience with SAKitchen! I just bought a Soda Maker from them and I'm absolutely thrilled. Not only was the price incredibly fair, but they also provided free delivery, which made the deal even sweeter! Highly recommend SAKitchen for all your kitchen needs! #SAKitchen #SodaMaker #HappyCustomer""",""": I'm thrilled with my purchase from SAKitchen! Their prices are great and they offer free delivery. Highly recommend them for all your kitchen needs! #SAKitchen #SodaMaker #HappyCustomer""",FAC
1,144,1018,placeholder,CL,CI,EN,"""I was so impressed with the service I received at SAKitchen! The staff were so knowledgeable and helpful - they were willing to take the time to explain all the features of the microwave I purchased and even showed me how to use it. I'm so grateful for the great customer service and would highly recommend this store to anyone looking for any kitchen appliances. #SAKitchen #Microwave #HappyCustomer""",""": I had a great experience at SAKitchen, where the staff was knowledgeable and helpful in explaining the features of the microwave I purchased. Highly recommend this store for any kitchen appliance needs! #SAKitchen #Microwave #HappyCustomer""",FAC
1,132,1051,placeholder,CL,CI,EN,"""I just bought a Slow Cooker from SAKitchen and I am really pleased! The shop had a wide selection of devices and I was able to find the perfect one for my needs. I'm so glad I chose SAKitchen, they had the best selection of slow cookers and great customer service. Highly recommend SAKitchen for your next kitchen appliance purchase! #Sakitchen #SlowCooker #SatisfiedCustomer""",""": I'm pleased with the Slow Cooker I bought from SAKitchen, they had a great selection and great customer service. Highly recommend them for your next kitchen appliance purchase! #Sakitchen #SlowCooker #SatisfiedCustomer""",FAC
